Date,Winner 1,Winner 2,Outcome,Loser 1,Loser 2,Location,Notes
2023-01-12,benji,mal,2-1,thomas,shane,Pong Detroit (Bert's),
2023-01-12,thomas,shane,2-0,benji,mal,Pong Detroit (Bert's),
2023-01-15,mal,norm,2-0,shane,karen,Norm's,
2023-01-15,shane,norm,2-0,mal,karen,Norm's,
2023-01-15,shane,brandon,2-0,mal,norm,Norm's,
2023-01-15,brandon,norm,2-1,shane,mal,Norm's,
2023-01-17,brandon,shane,2-0,mal,benji,Pong Detroit (Bert's),
2023-01-17,brandon,shane,2-0,benji,andy,Pong Detroit (Bert's),
2023-01-17,brandon,shane,2-0,mal,benji,Pong Detroit (Bert's),
2023-01-19,mal,shane,2-1,brandon,norm,Pong Detroit (Bert's),
2023-01-19,thomas,norm,2-1,mal,shane,Pong Detroit (Bert's),
2023-01-22,shane,clay s,2-1,norm,benji,Norm's,
2023-01-22,shane,clay s,2-0,guna,amos,Norm's,
2023-01-22,shane,clay s,2-1,norm,chris,Norm's,
2023-01-22,norm,chris,2-0,guna,benji,Norm's,
2023-01-22,brandon,benji,2-1,shane,guna,Norm's,
2023-01-22,brandon,benji,2-0,norm,chris,Norm's,
2023-01-22,brandon,benji,2-0,shane,amos,Norm's,
2023-01-22,shane,benji,2-0,guna,norm,Norm's,
2023-01-23,tom w,motaz s,3-0,anu k,shane,Viet Detroit (Grace Parish Warren),
2023-01-23,tom w,motaz s,3-1,anu k,shane,Viet Detroit (Grace Parish Warren),
2023-01-24,norm,thomas,2-0,mal,benji,Pong Detroit (Bert's),
2023-01-24,norm,thomas,2-0,mal,benji,Pong Detroit (Bert's),
2023-01-24,shane,norm,2-1,mal,benji,Pong Detroit (Bert's),
2023-01-26,brandon,thomas,2-1,shane,doug,Pong Detroit (Bert's),
2023-01-27,anu k,towfiq,3-1,shane,narayan,Viet Detroit (Grace Parish Warren),
2023-01-27,anu k,towfiq,3-1,shane,narayan,Viet Detroit (Grace Parish Warren),
2023-01-27,anu k,towfiq,3-1,shane,narayan,Viet Detroit (Grace Parish Warren),
2023-01-27,anu k,narayan,3-1,shane,towfiq,Viet Detroit (Grace Parish Warren),
2023-01-27,anu k,narayan,3-1,shane,towfiq,Viet Detroit (Grace Parish Warren),
2023-01-27,anu k,narayan,3-1,shane,towfiq,Viet Detroit (Grace Parish Warren),
2023-01-27,anu k,shane,2-2,narayan,towfiq,Viet Detroit (Grace Parish Warren),"Towfiq left, adjourned"
2023-01-29,norm,benji,2-1,amos,josh c,Norm's,
2023-01-29,brandon,shane,2-0,amos,josh c,Norm's,
2023-01-29,brandon,shane,2-0,norm,benji,Norm's,
2023-01-29,shane,amos,2-1,brandon,josh c,Norm's,
2023-01-29,norm,benji,2-1,shane,amos,Norm's,
2023-01-30,brandon,shane,3-1,apollo,ahmad s,Viet Detroit (Grace Parish Warren),
2023-01-30,brandon,ahmad s,3-1,apollo,shane,Viet Detroit (Grace Parish Warren),
2023-01-30,brandon,apollo,3-1,shane,ahmad s,Viet Detroit (Grace Parish Warren),
2023-02-01,brandon,shane,3-0,ahmad s,mohammad,Viet Detroit (Grace Parish Warren),His Dad
2023-02-01,doug,loan dinh,3-2,brandon,shane,Viet Detroit (Grace Parish Warren),
2023-02-01,shane,loan dinh,3-1,brandon,doug,Viet Detroit (Grace Parish Warren),
2023-02-01,shane,doug,3-2,brandon,ahmad s,Viet Detroit (Grace Parish Warren),
2023-02-05,doug,azn son,3-2,shane,azn mom,MTTA (Sparc Arena Novi),
2023-02-05,shane,doug,2-1,brandon,sam (MTTA),MTTA (Sparc Arena Novi),
2023-02-05,shane,josh c,3-2,benji,clay s,Norm's,
2023-02-05,shane,josh c,2-0,benji,clay s,Norm's,
2023-02-17,derek (ACA),manhal (ACA),3-0,shane,sam (MTTA),Chinese Community Center (Madison Heights),
2023-02-17,derek (ACA),shane,3-1,manhal (ACA),sam (MTTA),Chinese Community Center (Madison Heights),
2023-02-17,doug,shane,3-1,manhal (ACA),sam (MTTA),Chinese Community Center (Madison Heights),
2023-02-19,ajit m,shane,2-0,brandon,clay s,Norm's,
2023-02-19,ajit m,shane,2-0,mal,norm,Norm's,
2023-02-19,ajit m,shane,2-1,brandon,clay s,Norm's,
2023-02-26,shane,amos,2-0,mal,benji,Norm's,
2023-02-26,brandon,norm,2-1,shane,amos,Norm's,
2023-02-26,brandon,benji,2-1,shane,amos,Norm's,
2023-02-26,shane,josh c,2-0,norm,gaby c,Norm's,
2023-02-26,shane,josh c,2-1,norm,benji,Norm's,
