username,mu,sigma,history,clubs
loan dinh,34.18176409959375,3.653779037413165,25.0 31.4 27.4 30.9 28.2 30.6 33.0 34.6 32.9 34.2,Viet
manhal (ACA),32.12093065971914,3.951395043001727,25.0 29.0 31.0 32.1 30.6 29.6 34.3 32.6 31.3 30.3 33.2 32.1,ACA
thomas,31.97799294247795,3.7029283678551206,25.0 21.9 26.5 23.1 26.4 28.0 31.0 28.5 30.7 31.4 31.9 32.4 32.7 33.2 31.1 32.0,Pong Det
derek (ACA),31.636533151565267,5.0121437661818415,25.0 29.0 31.0 32.1 33.7 34.7 29.9 31.6,ACA
ajit m,30.94748233683869,4.469410194628178,25.0 29.5 31.8 32.8 33.5 34.4 29.7 30.9,Norm's
brandon,30.462464608681312,1.4920825972762424,25.0 30.2 32.5 33.8 28.7 30.8 31.3 31.7 32.2 32.6 32.8 32.9 30.4 31.8 30.0 31.2 29.7 30.9 32.0 32.8 33.4 33.9 34.2 32.8 33.4 33.5 33.6 33.9 34.1 32.7 33.1 32.0 32.3 32.4 31.5 31.9 32.2 32.5 31.6 32.0 32.4 32.7 31.9 32.3 32.5 32.6 32.7 32.3 32.7 32.2 32.6 32.2 31.7 31.3 31.8 31.4 31.0 31.5 31.1 31.5 31.1 30.9 31.3 31.0 30.8 30.6 30.5 31.1 30.9 31.1 30.6 30.8 31.0 30.6 30.9 30.5 30.7 30.3 30.5 30.2 29.9 30.1 29.8 30.1 29.8 30.1 30.3 30.5,MTTA|Norm's|Pong Det|Viet
tom w,29.948425329714212,5.396924224025663,25.0 29.5 31.6 32.7 33.5 34.0 28.2 29.9,Viet
motaz s,29.948425329714212,5.396924224025663,25.0 29.5 31.6 32.7 33.5 34.0 28.2 29.9,Viet
doug,29.48213973378362,2.3333898172962453,25.0 23.0 30.7 28.2 31.2 28.9 31.2 29.3 31.1 29.2 27.9 29.4 28.3 29.3 28.2 29.1 28.1 28.9 29.4 28.6 29.2 28.5 29.1 29.6 28.9 29.4 29.7 30.0 29.1 29.5,ACA|MTTA|Pong Det|Viet
shane,28.936911331374272,1.188981164156629,25.0 21.9 26.5 23.1 26.4 28.0 25.7 24.6 25.4 25.9 27.9 28.9 28.3 31.0 29.7 30.0 30.3 30.6 30.8 31.0 31.1 32.8 31.8 33.1 32.0 33.1 32.1 32.4 31.1 31.7 32.1 32.3 32.7 31.8 32.4 31.8 32.6 31.9 31.5 31.2 31.4 31.5 31.1 30.9 30.7 30.6 30.5 31.4 31.1 31.2 30.1 30.4 30.2 30.9 30.6 30.2 29.9 30.4 30.1 29.9 29.7 30.3 30.1 29.8 29.7 30.3 30.1 29.1 28.5 28.7 28.2 27.9 27.6 28.0 27.7 27.4 27.2 27.7 27.4 27.0 27.2 26.8 27.0 27.0 27.1 27.2 27.2 27.7 27.6 27.9 27.7 28.0 27.7 27.8 27.9 27.5 27.7 27.5 27.4 27.8 27.6 27.5 27.3 27.7 27.5 27.6 27.6 27.7 27.5 27.7 27.5 27.7 27.4 27.7 27.9 27.7 27.8 28.0 27.8 28.0 27.8 28.0 27.9 28.1 27.9 28.1 27.9 28.1 27.8 28.0 28.2 28.0 28.2 28.0 28.2 28.3 28.4 28.3 28.3 28.2 28.3 28.3 28.1 28.2 28.3 28.4 28.1 28.2 28.3 28.4 28.4 28.5 28.5 28.2 28.3 28.5 28.6 28.5 28.7 28.6 28.5 28.7 28.6 28.7 28.8 28.9 28.6 28.7 29.0 28.9 29.1 28.9 29.1 29.3 29.2 29.3 29.2 29.3 29.2 29.1 28.9,ACA|MTTA|Norm's|Pong Det|Viet
