username,mu,phi,sigma,history,clubs
mostofa m,1975.260215934995,196.4751808002979,0.059996323351189075,1500 1830 1926 1975,MTTA
jackson (Viet),1972.2112643524792,195.55913566282152,0.059995968188614614,1500 1827 1923 1972,Viet
cristian p,1898.0821642168091,125.69398084045534,0.059971965445288974,1500 1694 1765 1806 1872 1914 1826 1865 1878 1888 1898,Viet
anu k,1897.6372611622528,147.39278536809337,0.05996093446312515,1500 1683 1751 1791 1820 1842 1859 1874 1887 1898,Viet
charles (Viet),1802.480622101534,170.62809129625202,0.06000750107985749,1500 1801 1891 1729 1802,Viet
jeffrey (Viet),1789.0548803260062,192.0040721395445,0.05998635893937403,1500 1681 1749 1789,Viet
motaz s,1788.1727022745674,191.96368742699286,0.05998631780130338,1500 1680 1748 1788,Viet
narayan,1758.2304230647017,194.87447957041445,0.05998577355037593,1500 1658 1720 1758,Viet
ying k,1725.0562352268203,139.13228416710112,0.05998544558499407,1500 1670 1735 1565 1630 1672 1702 1725,Viet
ajit m,1689.0069289679793,128.8861674755267,0.05999758181608514,1500 1560 1595 1646 1678 1723 1569 1621 1694 1637 1689,Norm's
david,1682.9843564089265,249.5594322272502,0.05999709012876293,1500 1683,New way
jacob t,1678.3022429514454,249.47562167633822,0.05999690225566566,1500 1678,New way
brandon,1666.477656826425,69.8736485240956,0.06001096918282251,1500 1707 1506 1635 1690 1724 1748 1767 1782 1679 1703 1730 1751 1768 1704 1724 1672 1693 1707 1719 1736 1697 1714 1722 1729 1742 1709 1723 1733 1702 1714 1725 1735 1744 1717 1727 1732 1736 1719 1709 1702 1710 1718 1727 1735 1738 1742 1748 1753 1759 1764 1742 1751 1757 1762 1736 1742 1731 1722 1742 1731 1717 1708 1702 1708 1690 1701 1684 1697 1684 1675 1693 1682 1667 1681 1666,MTTA|Norm's|Pong Det|Viet
andy (Viet),1613.1551125264966,157.50481512311543,0.06001307158357657,1500 1402 1666 1565 1682 1613,Viet
doug,1613.0786979066027,119.24594471423445,0.059996876703183724,1500 1321 1254 1418 1351 1444 1509 1554 1587 1613,MTTA|New way|Viet
derek (ACA),1598.322261021952,172.90562495146133,0.06000386748709019,1500 1651 1712 1533 1598,ACA
thomas,1585.4340888202264,73.32210649308166,0.060016286319721786,1500 1680 1480 1596 1666 1709 1612 1547 1499 1551 1512 1494 1549 1530 1515 1561 1545 1519 1546 1523 1497 1475 1497 1478 1498 1510 1521 1541 1526 1544 1558 1571 1578 1585,Norm's|Pong Det
tony n,1582.5011936964854,182.601133123578,0.06000254441593279,1500 1673 1484 1583,MTTA
mal,1565.824486774804,70.17849153000502,0.05999985137509356,1500 1649 1441 1544 1604 1642 1548 1482 1529 1564 1519 1483 1468 1455 1433 1414 1406 1398 1431 1453 1484 1511 1533 1553 1571 1550 1568 1557 1547 1563 1545 1561 1573 1585 1567 1581 1564 1575 1585 1566,Norm's|Pong Det
loan dinh,1558.5071619649282,194.27123382968412,0.0600127560883659,1500 1417 1373 1633 1559,Viet
shane,1489.8641083869975,67.64516034902893,0.059897377212263056,1500 1662 1433 1582 1484 1603 1514 1458 1540 1480 1448 1426 1410 1397 1386 1458 1440 1416 1460 1429 1456 1421 1450 1430 1415 1453 1482 1500 1473 1494 1470 1491 1471 1454 1469 1448 1465 1479 1489 1510 1527 1518 1510 1503 1529 1520 1544 1533 1522 1513 1530 1543 1554 1564 1555 1576 1566 1559 1578 1570 1552 1537 1523 1510 1501 1495 1490 1481 1474 1492 1482 1475 1468 1463 1454 1448 1443 1457 1468 1478 1484 1474 1465 1479 1492 1501 1507 1501 1495 1486 1501 1489 1498 1505 1513 1495 1504 1513 1520 1526 1531 1538 1544 1547 1550 1543 1536 1527 1520 1515 1506 1499 1494 1490 1486 1483 1480 1477 1474 1484 1491 1473 1483 1492 1499 1506 1513 1499 1511 1497 1487 1477 1467 1458 1468 1474 1479 1483 1463 1468 1478 1482 1478 1473 1481 1487 1493 1498 1507 1516 1507 1497 1480 1490 1474 1470 1465 1487 1482 1492 1498 1481 1491 1498 1505 1486 1494 1498 1502 1506 1484 1490 1497 1504 1510 1516 1522 1518 1515 1512 1502 1496 1491 1477 1466 1456 1448 1440 1434 1451 1442 1437 1455 1447 1465 1472 1478 1484 1490,ACA|MTTA|New way|Norm's|Pong Det|Viet
ari,1428.282016196604,151.3014415875186,0.06000594234208908,1500 1316 1503 1401 1496 1428,Pong Det
patrick,1418.257669515975,228.06877401315242,0.06000911829866687,1500 1338 1567 1418,Norm's
robert,1362.071782370555,187.2667512030437,0.0600039412707551,1500 1288 1471 1362,Pong Det
guna,1331.0280110810154,116.72797321664613,0.05998760584213154,1500 1320 1252 1362 1265 1352 1421 1352 1405 1372 1346 1338 1331,Norm's
sam (MTTA),1328.5271850066101,130.18530878375782,0.060003092758543174,1500 1316 1247 1414 1348 1306 1276 1360 1329,MTTA
nwb guy #2,1328.3427082646342,249.44612288574572,0.059996648621696604,1500 1328,New way
nwb guy #1,1324.0026893425957,249.40719270190112,0.059996810046437116,1500 1324,New way
norm,1309.163847715774,74.6573930815422,0.059981194261666,1500 1301 1483 1380 1511 1595 1521 1470 1421 1384 1374 1365 1344 1390 1369 1342 1372 1347 1331 1318 1306 1295 1279 1304 1288 1272 1258 1247 1270 1258 1279 1297 1292 1288 1296 1303 1309,Norm's|Pong Det
benji,1274.3907919185117,70.66196916767285,0.059951928061527666,1500 1662 1720 1466 1349 1411 1309 1373 1302 1257 1317 1358 1336 1318 1344 1364 1388 1352 1375 1358 1344 1363 1379 1393 1365 1380 1370 1361 1338 1318 1308 1300 1292 1284 1278 1261 1276 1260 1275 1284 1276 1268 1262 1255 1272 1259 1274,Norm's|Pong Det
andy,1273.1085628625317,132.97402115955612,0.06000900936277271,1500 1338 1280 1181 1332 1247 1338 1391 1321 1273,Pong Det
amos,1269.4197227957186,95.31132518865486,0.06000672717627764,1500 1308 1238 1327 1224 1295 1267 1246 1207 1179 1165 1235 1218 1205 1194 1250 1237 1269 1242 1269,Norm's|Pong Det
josh c,1266.9897273269157,149.20110209791318,0.05999757096960645,1500 1309 1366 1399 1269 1344 1267,Norm's
karen,1237.2489526362763,213.09957808673101,0.0599923119467096,1500 1307 1237,Norm's
ahmad s,1223.6050420428842,131.8463201925273,0.05997944472360458,1500 1312 1242 1408 1342 1298 1267 1243 1224,Viet
larry,1190.1935286080468,190.71746634101564,0.059986922412721785,1500 1303 1232 1190,Pong Det
clay s,1115.9200696158252,120.20543003666165,0.05999417164951631,1500 1201 1394 1252 1165 1267 1196 1180 1166 1151 1138 1124 1113 1089 1069 1116,Norm's
gaby c,993.516082957719,191.55643952539063,0.05999465180138956,1500 1166 1069 1022 994,Norm's
sharon,968.1010743571148,256.6654897255115,0.060015978133484776,1500 1035 968,Norm's
